gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Dodge City,1997-08-08,1997-08-09,2
Dodge City,1998-09-19,1998-10-08,20
Dodge City,2000-06-15,2001-02-04,235
Dodge City,2001-02-06,2001-02-18,13
Dodge City,2001-03-01,2001-03-02,2
Dodge City,2001-04-25,2001-05-30,36
Dodge City,2001-07-02,2003-08-28,788
Dodge City,2003-08-31,2003-09-10,11
Dodge City,2003-09-12,2021-09-30,6594
Pawnee at Rozel,1988-10-01,1989-06-03,246
Pawnee at Rozel,1989-08-12,1989-08-14,3
Pawnee at Rozel,1989-09-04,1989-09-04,1
Pawnee at Rozel,1989-09-06,1989-09-08,3
Pawnee at Rozel,1989-09-20,1990-04-25,218
Pawnee at Rozel,1990-07-08,1990-07-21,14
Pawnee at Rozel,1990-08-08,1990-08-17,10
Pawnee at Rozel,1990-09-06,1992-06-08,642
Pawnee at Rozel,1992-06-15,1992-06-25,11
Pawnee at Rozel,1992-09-04,1993-01-31,150
Pawnee at Rozel,1994-06-05,1994-06-06,2
Pawnee at Rozel,1994-06-22,1994-07-03,12
Pawnee at Rozel,1994-07-09,1994-08-06,29
Pawnee at Rozel,1994-08-14,1994-08-26,13
Pawnee at Rozel,1994-09-05,1994-09-07,3
Pawnee at Rozel,1994-09-16,1995-01-15,122
Pawnee at Rozel,1995-02-13,1995-02-14,2
Pawnee at Rozel,1995-03-02,1995-03-11,10
Pawnee at Rozel,1995-04-15,1995-05-01,17
Pawnee at Rozel,1995-07-01,1995-07-03,3
Pawnee at Rozel,1995-07-15,1995-07-18,4
Pawnee at Rozel,1995-08-09,1995-09-14,37
Pawnee at Rozel,1995-09-23,1996-05-25,246
Pawnee at Rozel,1996-06-12,1996-06-15,4
Pawnee at Rozel,1996-07-05,1996-07-07,3
Pawnee at Rozel,1996-07-12,1996-07-13,2
Pawnee at Rozel,1996-07-15,1996-07-16,2
Pawnee at Rozel,1996-07-20,1996-07-24,5
Pawnee at Rozel,1998-09-21,1998-09-25,5
Pawnee at Rozel,1998-09-29,1998-09-30,2
Pawnee at Rozel,1998-10-27,1998-10-31,5
Pawnee at Rozel,1999-08-27,1999-09-27,32
Pawnee at Rozel,1999-10-04,1999-11-21,49
Pawnee at Rozel,2000-08-07,2000-10-26,81
Pawnee at Rozel,2000-11-04,2001-01-13,71
Pawnee at Rozel,2001-05-01,2001-05-04,4
Pawnee at Rozel,2001-05-24,2001-05-28,5
Pawnee at Rozel,2001-06-25,2001-07-26,32
Pawnee at Rozel,2001-08-03,2001-08-26,24
Pawnee at Rozel,2001-08-29,2001-09-15,18
