Time [days],well,recharge,river
287.0,-3.730609489997739e-05,0.002848409986677236,
288.0,-3.82630585439637e-05,0.0028433088067671974,
289.0,-3.923689851126778e-05,0.0028382167624934063,
290.0,-4.022774170584138e-05,0.00283313383749495,
291.0,-4.123571322965777e-05,0.0028280600154391156,
292.0,-4.226093635644802e-05,0.0028229952800247204,
293.0,-4.330353250622614e-05,0.0028179396149785596,
294.0,-4.4363621220697234e-05,0.0028128930040558497,
295.0,-4.544132013943429e-05,0.0028078554310422277,
296.0,-4.6536744976924784e-05,0.002802826879751974,
297.0,-4.7650009500404796e-05,0.002797807334027569,
298.0,-4.8781225508542306e-05,0.0027927967777421348,
299.0,-4.993050281090305e-05,0.0027877951947949953,
300.0,-5.109794920827703e-05,0.0027828025691174485,
301.0,-5.228367047373987e-05,0.002777818884667438,
302.0,-5.348777033461474e-05,0.0027728441254319947,
303.0,-5.471035045513076e-05,0.00276787827542746,
304.0,-5.5951510419973045e-05,0.0027629213186983748,
305.0,-5.721134771856937e-05,0.0027579732393174794,
306.0,-5.8489957730132724e-05,0.0027530340213870463,
307.0,-5.9787433709602034e-05,0.0027481036490364374,
308.0,-6.110386677416488e-05,0.0027431821064252127,
309.0,-6.243934589076749e-05,0.0027382693777395772,
310.0,-6.379395786418373e-05,0.0027333654471952684,
311.0,-6.516778732598184e-05,0.002728470299034891,
312.0,-6.656091672414648e-05,0.002723583917531469,
313.0,-6.797342631348824e-05,0.0027187062869842293,
314.0,-6.940539414675411e-05,0.002713837391720819,
315.0,-7.085689606648035e-05,0.002708977216098196,
316.0,-7.232800569754614e-05,0.0027041257445001854,
317.0,-7.381879444043294e-05,0.0026992829613383673,
318.0,-7.532933146517894e-05,0.0026944488510529663,
319.0,-7.685968370605518e-05,0.0026896233981124062,
320.0,-7.840991585686321e-05,0.0026848065870115345,
321.0,-7.99800903669122e-05,0.0026799984022747303,
322.0,-8.157026743775943e-05,0.00267519882845213,
323.0,-8.318050502041608e-05,0.0026704078501229578,
324.0,-8.481085881338916e-05,0.0026656254518941935,
325.0,-8.64613822611905e-05,0.0026608516183992403,
326.0,-8.813212655361382e-05,0.002656086334299479,
327.0,-8.982314062551443e-05,0.0026513295842847118,
328.0,-9.153447115725112e-05,0.0026465813530702764,
329.0,-9.32661625756932e-05,0.0026418416254012644,
330.0,-9.501825705583982e-05,0.0026371103860476364,
331.0,-9.67907945230188e-05,0.0026323876198079965,
332.0,-9.85838126555498e-05,0.0026276733115084827,
333.0,-0.00010039734688814441,0.002622967446001878,
334.0,-0.00010223143041569304,0.0026182700081669452,
335.0,-0.00010408609419760521,0.0026135809829126444,
336.0,-0.00010596136696280813,0.002608900355171029,
337.0,-0.00010785727521503159,0.0026042281099041276,
338.0,-0.00010977384323884471,0.002599564232099727,
339.0,-0.00011171109310596089,0.002594908706773147,
340.0,-0.00011366904468220092,0.002590261518964798,
341.0,-0.00011564771563483001,0.0025856226537439575,
342.0,-0.0001176471214403554,0.002580992096206325,
343.0,-0.00011966727539286862,0.002576369831472247,
344.0,-0.00012170818861269479,0.0025717558446920474,
345.0,-0.00012376987005559541,0.0025671501210393632,
346.0,-0.00012585232652230147,0.002562552645716698,
347.0,-0.0001279555626685549,0.0025579634039520904,
348.0,-0.0001300795810154345,0.00255338238099978,
349.0,-0.0001322243819601894,0.002548809562141763,
350.0,-0.00013438996378735413,0.0025442449326837924,
351.0,-0.0001365763226802985,0.002539688477961377,
352.0,-0.00013878345273315822,0.0025351401833331177,
353.0,-0.00014101134596304805,0.002530600034186481,
354.0,-0.00014325999232262746,0.00252606801593247,
355.0,-0.00014552937971312914,0.002521544114010732,
356.0,-0.0001478194939974961,0.002517028313884895,
357.0,-0.00015013031901398109,0.00251252060104612,
358.0,-0.00015246183659008324,0.0025080209610108817,
359.0,-0.00015481402655662113,0.002503529379321634,
360.0,-0.00015718686676225325,0.002499045841547254,
361.0,-0.00015958033308813378,0.002494570333281043,
362.0,-0.00016199439946303074,0.0024901028401438374,
363.0,-0.00016442903787847532,0.002485643347781119,
364.0,-0.00016688421840432843,0.002481191841864794,
365.0,-0.00016935990920451983,0.0024767483080914143,
366.0,-0.00017185607655303275,0.0024723127321844007,
367.0,-0.00017437268485014437,0.002467885099891598,
368.0,-0.00017690969663878425,0.0024634653969872744,
369.0,-0.00017946707262127444,0.0024590536092705673,
370.0,-0.00018204477167609728,0.002454649722566371,
371.0,-0.00018464275087492696,0.0024502537227248933,
372.0,-0.00018726096549989517,0.0024458655956212105,
373.0,-0.00018989936906087072,0.0024414853271570447,
374.0,-0.0001925579133131971,0.0024371129032580985,
375.0,-0.0001952365482752426,0.0024327483098747216,
376.0,-0.00019793522224633917,0.002428391532984797,
377.0,-0.00020065388182484434,0.002424042558588857,
378.0,-0.0002033924719262309,0.002419701372713856,
379.0,-0.00020615093580137432,0.0024153679614116186,
380.0,-0.00020892921505505369,0.0024110423107586154,
381.0,-0.00021172724966434832,0.0024067244068561866,
382.0,-0.0002145449779973798,0.002402414235830763,
383.0,-0.00021738233683202442,0.0023981117838343113,
384.0,-0.00022023926137474358,0.002393817037042334,
385.0,-0.00022311568527946628,0.002389529981655203,
386.0,-0.00022601154066671444,0.0023852506038997134,
387.0,-0.00022892675814257905,0.0023809788900255313,
388.0,-0.00023186126681794782,0.0023767148263069693,
389.0,-0.00023481499432766,0.0023724583990440973,
390.0,-0.00023778786684989714,0.002368209594560966,
391.0,-0.00024077980912538127,0.002363968399205163,
392.0,-0.00024379074447688533,0.002359734799351365,
393.0,-0.0002468205948285597,0.0023555087813942333,
394.0,-0.00024986928072543574,0.0023512903317584044,
395.0,-0.0002529367213529119,0.0023470794368873893,
396.0,-0.00025602283455620177,0.0023428760832533424,
397.0,-0.00025912753685998664,0.0023386802573492904,
398.0,-0.00026225074348790005,0.0023344919456946833,
399.0,-0.00026539236838199476,0.002330311134832508,
400.0,-0.0002685523242224666,0.0023261378113290654,
401.0,-0.00027173052244706605,0.0023219719617761925,
402.0,-0.0002749268732707595,0.002317813572788152,
403.0,-0.00027814128570515656,0.0023136626310036323,
404.0,-0.0002813736675781678,0.002309519123086634,
405.0,-0.0002846239255534233,0.002305383035722919,
406.0,-0.00028789196514984045,0.002301254355624449,
407.0,-0.00029117769076083405,0.002297133069523838,
408.0,-0.0002944810056741895,0.0022930191641805653,
409.0,-0.0002978018120909712,0.002288912626376316,
410.0,-0.0003011400111452116,0.0022848134429158673,
411.0,-0.0003044955029230939,0.0022807216006297537,
412.0,-0.00030786818648214156,0.002276637086369826,
413.0,-0.0003112579598705499,0.002272559887012582,
414.0,-0.00031466472014627517,0.0022684899894582777,
415.0,-0.0003180883633961164,0.0022644273806293747,
416.0,-0.000321528784754839,0.0022603720474732025,
417.0,-0.0003249858784239758,0.002256323976959962,
418.0,-0.0003284595376908325,0.002252283156082946,
419.0,-0.0003319496549473583,0.0022482495718585405,
420.0,-0.00033545612170889083,0.002244223211326446,
421.0,-0.0003389788286325829,0.002240204061551676,
422.0,-0.0003425176655364702,0.00223619210961834,
423.0,-0.00034607252141754044,0.002232187342636749,
424.0,-0.0003496432844703537,0.0022281897477403056,
425.0,-0.00035322984210539934,0.002224199312083286,
426.0,-0.00035683208096738,0.002220216022844834,
427.0,-0.00036044988695321106,0.0022162398672271877,
428.0,-0.0003640831452302179,0.0022122708324536777,
429.0,-0.00036773174025395497,0.0022083089057727268,
430.0,-0.00037139555578631633,0.0022043540744534074,
431.0,-0.00037507447491308757,0.002200406325790105,
432.0,-0.0003787683800615983,0.00219646564709719,
433.0,-0.0003824771530183957,0.0021925320257145664,
434.0,-0.00038620067494668855,0.0021886054490019013,
435.0,-0.00038993882640339997,0.0021846859043439526,
436.0,-0.00039369148735685436,0.0021807733791470163,
437.0,-0.000397458537203476,0.002176867860839815,
438.0,-0.00040123985478500435,0.0021729693368739422,
439.0,-0.00040503531840522036,0.0021690777947234174,
440.0,-0.0004088448058468912,0.002165193221884243,
441.0,-0.00041266819438813204,0.0021613156058752914,
442.0,-0.00041650536081931644,0.002157444934238084,
443.0,-0.00042035618145898,0.0021535811945352368,
444.0,-0.00042422053217053973,0.0021497243743531236,
445.0,-0.0004280982883781148,0.002145874461299435,
446.0,-0.0004319893250826906,0.0021420314430047327,
447.0,-0.00043589351687805394,0.0021381953071202275,
448.0,-0.0004398107379663327,0.002134366041321112,
449.0,-0.0004437408621739622,0.002130543633303894,
450.0,-0.00044768376296684675,0.002126728070786621,
451.0,-0.0004516393134659652,0.002122919341509766,
452.0,-0.00045560738646242827,0.0021191174332362284,
453.0,-0.0004595878544326748,0.0021153223337502247,
454.0,-0.00046358058955367487,0.0021115340308577313,
455.0,-0.00046758546371720305,0.002107752512387151,
456.0,-0.0004716023485450138,0.002103977766187981,
457.0,-0.00047563111540331604,0.002100209780131701,
458.0,-0.00047967163541697694,0.002096448542112661,
459.0,-0.00048372377948414924,0.0020926940400451954,
460.0,-0.00048778741829010736,0.0020889462618651766,
461.0,-0.0004918624223215207,0.002085205195532902,
462.0,-0.0004959486618802134,0.0020814708290259887,
463.0,-0.0005000460070966883,0.0020777431503475885,
464.0,-0.0005041543279443172,0.0020740221475190612,
465.0,-0.0005082734942520803,0.0020703078085859694,
466.0,-0.000512403375718555,0.0020666001216134156,
467.0,-0.0005165438419244481,0.0020628990746887066,
468.0,-0.0005206947623463271,0.0020592046559202437,
469.0,-0.0005248560063688193,0.0020555168534370782,
470.0,-0.0005290274432980455,0.002051835655391576,
471.0,-0.0005332089423737696,0.0020481610499547553,
472.0,-0.0005374003727820417,0.002044493025320282,
473.0,-0.0005416016036675492,0.0020408315697029167,
