PDIV_ID,Year,WaterUse_m3
22218,1997,129241.69911262364
22218,1998,166732.46673055552
22218,1999,146874.17039335053
22218,2000,189227.30584299006
22218,2001,233408.7975890205
22218,2002,210329.11158674635
22218,2003,63174.820352954455
22218,2004,92405.80859464146
22218,2005,156538.3393885628
22218,2006,167750.74383972507
22218,2007,176601.04823095395
22218,2008,104814.40474282198
22218,2009,148255.8475117425
22218,2010,153536.50389572926
22218,2011,220606.51809751807
22218,2012,257601.3961195343
22218,2013,160785.5769963293
22218,2014,203920.40100746916
22218,2015,194025.3215897314
22218,2016,2328.0313090698637
22218,2017,159600.74154959928
22218,2018,133890.19089723818
22218,2019,135112.880511595
22276,1990,114009.18205945726
22276,1991,86534.62719567015
22276,1992,0
22276,1993,22712.500576291364
22276,1994,37721.67804045726
22276,1995,65294.653740074995
22276,1996,0
22276,1997,0
22276,1998,0
22276,1999,0
22276,2000,23436.154913402883
22276,2001,48105.79166435329
22276,2002,70308.46474020866
22276,2003,0
22276,2004,0
22276,2005,0
22276,2006,0
22276,2007,0
22276,2008,0
22276,2009,0
22276,2010,0
22276,2011,0
22276,2012,0
22276,2013,0
22276,2014,91277.6559785165
22276,2015,102378.99251644418
22276,2016,115947.29272946689
22276,2017,64141.05555247105
22276,2018,11101.336537927682
22276,2019,65374.53739001857
22306,1990,316612.25803350174
22306,1991,203504.00516357043
22306,1992,178520.25452965047
22306,1993,79766.3020239353
22306,1994,166618.90422767386
22306,1995,230661.10362138628
22306,1996,181835.7808851307
22306,1997,175154.42093174785
22306,1998,195198.50079189506
22306,1999,127870.95049242668
22306,2000,298810.97514588677
22306,2001,247415.89858140633
22306,2002,234567.1294402872
22306,2003,208591.60529265975
22306,2004,59207.12820228097
22306,2005,146784.3386681549
22306,2006,140616.9294804173
22306,2007,134449.5202926797
22306,2008,136916.48396777475
22306,2009,139383.44764286978
22306,2010,115947.29272946689
22306,2011,150484.78418079746
22306,2012,49339.27350190081
22306,2013,17564.333778998654
22306,2014,75590.9873346604
22306,2015,147983.29750482691
22306,2016,87371.2043002302
22306,2017,118763.66551342761
22306,2018,105204.30266938164
22306,2019,116388.70260733359
22478,1990,327387.06830689503
22478,1991,264366.69295785896
22478,1992,124548.5394102086
22478,1993,125836.33819288458
22478,1994,235851.14848432504
22478,1995,234881.32470971684
22478,1996,149752.60129971954
22478,1997,136763.32222013804
22478,1998,200344.6963334088
22478,1999,221711.85979223115
22478,2000,233132.46216534282
22478,2001,203113.34258282543
22478,2002,213700.72835510786
22478,2003,233950.3885215134
22478,2004,199618.47737643993
22478,2005,245462.88567195652
22478,2006,233642.01806212653
22478,2007,238370.36510605828
22478,2008,127459.78987991
22478,2009,200160.72507874013
22478,2010,221512.7799929084
22478,2011,193656.64849496068
22478,2012,244229.403834409
22478,2013,187797.60976660994
22478,2014,238987.10602483203
22478,2015,240323.3780155081
22478,2016,162408.44194375724
22478,2017,238575.94541231662
22478,2018,197151.5137013449
22478,2019,196431.9826294426
22831,1990,178463.47327820963
22831,1991,171706.50435676318
22831,1992,135116.66592835708
22831,1993,60464.461950850346
22831,1994,172516.58354398338
22831,1995,161077.0540870589
22831,1996,159078.3540363442
22831,1997,153956.6851563913
22831,1998,164994.96043646894
22831,1999,119191.41760761442
22831,2000,250458.31468829061
22831,2001,231292.74961866322
22831,2002,226595.04741613325
22831,2003,89744.66061045266
22831,2004,165805.03962369036
22831,2005,132890.8408718814
22831,2006,143001.68904509264
22831,2007,129495.32203572523
22831,2008,157314.34982491945
22831,2009,138928.580608412
22831,2010,161376.10201131267
22831,2011,181321.83011948547
22831,2012,168987.01174401026
22831,2013,110837.0028123019
22831,2014,199870.00507136463
22831,2015,150773.14965894778
22831,2016,52465.87633123308
22831,2017,129007.00327333488
22831,2018,112275.46118213369
22831,2019,156943.3789821729
23281,1990,122181.89685015945
23281,1991,101646.61657911136
23281,1992,14308.875363063557
23281,1993,33864.33835925043
23281,1994,109779.8835417293
23281,1995,115947.29272946689
23281,1996,59207.12820228097
23281,1997,71541.94657775617
23281,1998,7709.261484672001
23281,1999,7092.520565898241
23281,2000,118414.25640456194
23281,2001,123348.18375475201
23281,2002,131982.55661758466
23281,2003,113480.32905437186
23281,2004,103612.4743539917
23281,2005,91277.6559785165
23281,2006,108546.40170418177
23281,2007,127048.62926739459
23281,2008,18502.227563212804
23281,2009,82643.28311568385
23281,2010,131982.55661758466
23281,2011,102221.39426036205
23281,2012,113414.87162771095
23281,2013,0
23281,2014,62648.647422937036
23281,2015,2354.529226408874
23281,2016,59730.31065305582
23281,2017,117155.35170803602
23281,2018,87555.41025073745
23281,2019,107335.20461511635
23549,1990,0
23549,1991,0
23549,1992,0
23549,1993,0
23549,1994,339207.505325568
23549,1995,244229.403834409
23549,1996,139486.2377959983
23549,1997,150073.62356828206
23549,1998,240837.3287811533
23549,1999,220382.0883084907
23549,2000,236622.93250286553
23549,2001,234669.91959341572
23549,2002,275272.03007935535
23549,2003,264684.64430707163
23549,2004,266226.49660400604
23549,2005,225007.64519929388
23549,2006,251424.71455343577
23549,2007,241762.44015931396
23549,2008,178135.33537248813
23549,2009,240528.95832176643
23549,2010,267151.60798216664
23549,2011,404273.67225619976
23549,2012,73186.58902781953
23549,2013,232202.9559183207
23549,2014,240220.58786237956
23549,2015,238370.36510605828
23549,2016,173098.61786916826
23549,2017,250910.76378779183
23549,2018,217298.3837146219
23549,2019,232922.48699022297
24268,1990,197357.09400760324
24268,1991,205991.46687043586
24268,1992,106079.43802908674
24268,1993,123348.18375475201
24268,1994,250396.81302214658
24268,1995,198590.57584515074
24268,1996,105873.85772282882
24268,1997,113480.32905437186
24268,1998,151821.05617147352
24268,1999,128487.69141120045
24268,2000,205580.30625792046
24268,2001,174846.05047236098
24268,2002,223260.21259610116
24268,2003,214934.2101926554
24268,2004,115227.76165756416
24268,2005,194581.7598731213
24268,2006,176696.27322868226
24268,2007,192012.00604489772
24268,2008,112760.79798246913
24268,2009,146887.12882128343
24268,2010,170528.86404094467
24268,2011,238575.94541231662
24268,2012,219045.81631781338
24268,2013,164155.87454694873
24268,2014,138047.17565219372
24268,2015,144728.53560557528
24268,2016,95903.2128693197
24268,2017,190572.94390109187
24268,2018,148634.56142447618
24268,2019,148634.56142447618
24727,1990,3714.2509275761804
24727,1991,5212.8974239351455
24727,1992,8634.37286283264
24727,1993,0
24727,1994,9867.854700380161
24727,1995,21273.663664783307
24727,1996,195125.7422426537
24727,1997,19685.68133282428
24727,1998,16206.883327888978
24727,1999,16390.854582556938
24727,2000,11383.126747160963
24727,2001,13984.465146498862
24727,2002,14698.773289623236
24727,2003,13934.497645231026
24727,2004,14934.604753940388
24727,2005,11232.088618328635
24727,2006,2575.97610702771
24727,2007,19943.0896726889
24727,2008,10937.961735865658
24727,2009,19831.419878188804
24727,2010,9210.676067038694
24727,2011,6759.997254856853
24727,2012,7730.956654493311
24727,2013,8826.456265623103
24727,2014,13850.46139309874
24727,2015,7234.688516901352
24727,2016,1005.0281505008933
24727,2017,1966.524008230563
24727,2018,19227.267362859457
24727,2019,22018.633683685664
24806,1990,221310.60561538316
24806,1991,250382.6063530357
24806,1992,126281.5032041802
24806,1993,87942.8022314002
24806,1994,212158.87605817348
24806,1995,113480.32905437186
24806,1996,154288.01984656855
24806,1997,39985.369567165435
24806,1998,95710.47742849184
24806,1999,77949.30197783199
24806,2000,175565.5815442633
24806,2001,43971.40111570009
24806,2002,171938.17186264158
24806,2003,238158.73854287635
24806,2004,154706.19767540856
24806,2005,172395.45020757755
