Date,WaterYear,stage_masl,stage_cd,discharge_cms,discharge_cd
1999-11-28,2000,593.783944,A,3.6811900569600007,A
1999-11-29,2000,593.79004,A,3.7944574433280005,A
1999-11-30,2000,593.799184,A,3.8794079831040005,A
1999-12-01,2000,593.80528,A,3.9926753694720007,A
1999-12-02,2000,593.808328,A,4.020992216064001,A
1999-12-03,2000,593.808328,A,4.049309062656,A
1999-12-04,2000,593.817472,A,4.162576449024001,A
1999-12-05,2000,593.826616,A,4.304160681984,A
1999-12-06,2000,593.826616,A,4.332477528576001,A
1999-12-07,2000,593.826616,A,4.304160681984,A
1999-12-08,2000,593.823568,A,4.275843835392001,A
1999-12-09,2000,593.823568,A,4.275843835392001,A
1999-12-10,2000,593.823568,A,4.247526988800001,A
1999-12-11,2000,593.817472,A,4.190893295616001,A
1999-12-12,2000,593.811376,A,4.077625909248001,A
1999-12-13,2000,593.808328,A,4.049309062656,A
1999-12-14,2000,593.808328,A,4.020992216064001,A
1999-12-15,2000,593.80528,A,3.9926753694720007,A
1999-12-16,2000,593.80528,A,3.9926753694720007,A
1999-12-17,2000,593.80528,A,3.9926753694720007,A
1999-12-18,2000,593.80528,A,3.9926753694720007,A
1999-12-19,2000,593.799184,A,3.9077248296960008,A
1999-12-20,2000,593.796136,A,3.8510911365120006,A
1999-12-21,2000,593.796136,A,3.8510911365120006,A
1999-12-22,2000,593.793088,A,3.7944574433280005,A
1999-12-23,2000,593.786992,A,3.7378237501440004,A
1999-12-24,2000,593.786992,A,3.7095069035520005,A
1999-12-25,2000,593.786992,A,3.7095069035520005,A
1999-12-26,2000,593.783944,A,3.6811900569600007,A
1999-12-27,2000,593.786992,A,3.7378237501440004,A
1999-12-28,2000,593.783944,A,3.6528732103680004,A
1999-12-29,2000,593.786992,A,3.7095069035520005,A
1999-12-30,2000,593.786992,A,3.7378237501440004,A
1999-12-31,2000,593.786992,A,3.7095069035520005,A
2000-01-01,2000,593.786992,A,3.7378237501440004,A
2000-01-02,2000,593.786992,A,3.7095069035520005,A
2000-01-03,2000,593.796136,A,3.8794079831040005,A
2000-01-04,2000,593.82052,A,3.6811900569600007,A e
2000-01-05,2000,593.808328,A,3.6811900569600007,A e
2000-01-06,2000,593.799184,A,3.5396058240000006,A e
2000-01-07,2000,593.7748,A,3.5396058240000006,A e
2000-01-08,2000,593.756512,A,3.6245563637760005,A
2000-01-09,2000,593.777848,A,3.9643585228800005,A
2000-01-10,2000,593.79004,A,4.190893295616001,A
2000-01-11,2000,593.796136,A,4.275843835392001,A
2000-01-12,2000,593.793088,A,4.247526988800001,A
2000-01-13,2000,593.79004,A,4.190893295616001,A
2000-01-14,2000,593.786992,A,4.134259602432,A
2000-01-15,2000,593.786992,A,4.134259602432,A
2000-01-16,2000,593.780896,A,4.049309062656,A
2000-01-17,2000,593.780896,A,4.020992216064001,A
2000-01-18,2000,593.780896,A,3.9926753694720007,A
2000-01-19,2000,593.780896,A,3.9926753694720007,A
2000-01-20,2000,593.777848,A,3.9360416762880006,A
2000-01-21,2000,593.777848,A,3.9360416762880006,A
2000-01-22,2000,593.777848,A,3.9360416762880006,A
2000-01-23,2000,593.7748,A,3.9077248296960008,A
2000-01-24,2000,593.768704,A,3.822774289920001,A
2000-01-25,2000,593.762608,A,3.7095069035520005,A
2000-01-26,2000,593.753464,A,3.5679226705920004,A
2000-01-27,2000,593.753464,A,3.3980215910400005,A e
2000-01-28,2000,593.765656,A,3.3980215910400005,A e
2000-01-29,2000,593.741272,A,3.2564373580800003,A e
2000-01-30,2000,593.719936,A,3.1714868183040004,A
2000-01-31,2000,593.707744,A,2.9732688921600006,A
2000-02-01,2000,593.701648,A,2.8883183523840006,A
2000-02-02,2000,593.6985999999999,A,2.8600015057920003,A
2000-02-03,2000,593.689456,A,2.7750509660160003,A
2000-02-04,2000,593.689456,A,2.718417272832,A
2000-02-05,2000,593.6985999999999,A,2.8316846592000005,A
2000-02-06,2000,593.716888,A,3.0582194319360005,A
2000-02-07,2000,593.716888,A,3.0865362785280004,A
2000-02-08,2000,593.722984,A,3.1431699717120005,A
2000-02-09,2000,593.726032,A,3.1998036648960007,A
2000-02-10,2000,593.732128,A,3.2564373580800003,A
2000-02-11,2000,593.735176,A,3.3130710512640005,A
2000-02-12,2000,593.747368,A,3.4829721308160004,A
2000-02-13,2000,593.756512,A,3.5962395171840007,A
2000-02-14,2000,593.765656,A,3.7095069035520005,A
2000-02-15,2000,593.780896,A,3.9360416762880006,A
2000-02-16,2000,593.802232,A,4.275843835392001,A
